latitude,longitude,sst_mean,salinity_mean,depth_m,prob_presence
30.0,129.0,25.342619923301147,34.4569718906438,10,2.9999999999999997e-05
30.0,129.0854271356784,25.333438143234105,34.463784585553206,10,2.9999999999999997e-05
30.0,129.17085427135677,25.312180664527823,34.46979496438544,10,2.9999999999999997e-05
30.0,129.25628140703517,25.290866088118335,34.47413381101091,10,2.9999999999999997e-05
30.0,129.34170854271358,25.273531413869577,34.47704899965081,10,2.9999999999999997e-05
30.0,129.42713567839195,25.255852439073273,34.48226040893884,10,2.9999999999999997e-05
30.0,129.51256281407035,25.2380843431331,34.48352814425938,10,2.9999999999999997e-05
30.0,129.59798994974875,25.228975496939928,34.48739730785084,10,2.9999999999999997e-05
30.0,129.68341708542712,25.218884175757296,34.48773875803803,10,2.9999999999999997e-05
30.0,129.76884422110552,25.224132289973127,34.49003937105633,10,2.9999999999999997e-05
30.0,129.85427135678393,25.213023804428456,34.49009631881022,10,2.9999999999999997e-05
30.0,129.9396984924623,25.201777184584206,34.49001739018655,10,2.9999999999999997e-05
30.0,130.0251256281407,25.200530799357566,34.482973776957344,10,2.9999999999999997e-05
30.0,130.1105527638191,25.244697268696044,34.45930674567491,10,2.9999999999999997e-05
30.0,130.19597989949747,25.24664861738437,34.44465417306938,10,2.9999999999999997e-05
30.0,130.28140703517587,25.160263835172497,34.402307639299906,10,2.9999999999999997e-05
30.0,130.36683417085428,24.898044865363342,34.353696287153085,10,2.9999999999999997e-05
30.0,130.45226130653268,24.630791673997045,34.32455974617144,10,2.9999999999999997e-05
30.0,130.53768844221105,24.569044724390867,34.3209094945048,10,2.9999999999999997e-05
30.0,130.62311557788945,24.458641628716933,34.31826194840155,10,2.9999999999999997e-05
30.0,130.70854271356785,24.452949172052016,34.32398409815045,10,2.9999999999999997e-05
30.0,130.79396984924622,24.46054683053524,34.32658796481769,10,2.9999999999999997e-05
30.0,130.87939698492463,24.507314155393207,34.33697538838411,10,2.9999999999999997e-05
30.0,130.96482412060303,24.573502793800067,34.35129840478309,10,2.9999999999999997e-05
30.0,131.0502512562814,24.6568415405424,34.37026052942283,10,2.9999999999999997e-05
30.0,131.1356783919598,24.699868766391095,34.380446551977045,10,0.0020299999999999997
30.0,131.2211055276382,24.808947155159654,34.405746825494575,10,2.9999999999999997e-05
30.0,131.30653266331657,24.9011438023696,34.42817362754863,10,2.9999999999999997e-05
30.0,131.39195979899498,24.932716736216783,34.439597045334025,10,2.9999999999999997e-05
30.0,131.47738693467338,24.9761613914297,34.46928732394613,10,2.9999999999999997e-05
30.0,131.56281407035175,24.976577161242652,34.497630030964274,10,2.9999999999999997e-05
30.0,131.64824120603015,24.960512762177963,34.51071116612306,10,2.9999999999999997e-05
30.0,131.73366834170855,24.897789036321072,34.53864499961618,10,0.0
30.0,131.81909547738692,24.824069626830312,34.558760778338225,10,0.0
30.0,131.90452261306532,24.741571228327217,34.565785348983745,10,0.0
30.0,131.98994974874373,24.691226859007948,34.565785348983745,10,0.0
30.0,132.0753768844221,24.61419836234924,34.565785348983745,10,0.0
30.0,132.1608040201005,24.53815970161495,34.565785348983745,10,0.0
30.0,132.2462311557789,24.48820677425902,34.565785348983745,10,0.0
30.0,132.33165829145727,24.409654192057456,34.565785348983745,10,0.0
30.0,132.41708542713567,24.3341782922494,34.565785348983745,10,0.0
30.0,132.50251256281408,24.26411919560489,34.565785348983745,10,0.0
30.0,132.58793969849245,24.22035356468477,34.565785348983745,10,0.0
30.0,132.67336683417085,24.15743404946306,34.565785348983745,10,0.0
30.0,132.75879396984925,24.10509777972766,34.565785348983745,10,0.0
30.0,132.84422110552765,24.07550016891895,34.565785348983745,10,0.0
30.0,132.92964824120602,24.02775130688147,34.565785348983745,10,0.0
30.0,133.01507537688443,23.975051330651773,34.565785348983745,10,0.0
30.0,133.10050251256283,23.91378018173739,34.565785348983745,10,0.0
30.0,133.1859296482412,23.88832276943092,34.565785348983745,10,0.0
30.0,133.2713567839196,23.847031037616137,34.565785348983745,10,0.0
30.0,133.356783919598,23.811157518213506,34.565785348983745,10,0.0
30.0,133.44221105527637,23.797469055332474,34.565785348983745,10,0.0
30.0,133.52763819095478,23.76949706434489,34.565785348983745,10,0.0
30.0,133.61306532663318,23.73784545598167,34.565785348983745,10,0.0
30.0,133.69849246231155,23.72463837750955,34.565785348983745,10,0.0
30.0,133.78391959798995,23.69816177035452,34.565785348983745,10,0.0
30.0,133.86934673366835,23.668705825011557,34.565785348983745,10,0.0
30.0,133.95477386934672,23.64027409758388,34.565785348983745,10,0.0
30.0,134.04020100502512,23.632604769528722,34.565785348983745,10,0.0
30.0,134.12562814070353,23.607299050201277,34.565785348983745,10,0.0
30.0,134.2110552763819,23.583903979770838,34.565785348983745,10,0.0
30.0,134.2964824120603,23.578241850431574,34.565785348983745,10,0.0
30.0,134.3819095477387,23.563721819963522,34.565785348983745,10,0.0
30.0,134.46733668341707,23.55304042796926,34.565785348983745,10,0.0
30.0,134.55276381909547,23.545804057035827,34.565785348983745,10,0.0
30.0,134.63819095477388,23.541046195571397,34.565785348983745,10,0.0
30.0,134.72361809045225,23.52912388728676,34.565785348983745,10,0.0
30.0,134.80904522613065,23.5223999842987,34.565785348983745,10,0.0
30.0,134.89447236180905,23.519620514767944,34.565785348983745,10,0.0
30.0,134.97989949748742,23.512617121907184,34.565785348983745,10,0.0
30.0,135.06532663316582,23.505865650636576,34.565785348983745,10,0.0
30.0,135.15075376884423,23.49924803177169,34.565785348983745,10,0.0
30.0,135.2361809045226,23.496581317276213,34.565785348983745,10,0.0
