scientificName,decimalLatitude,decimalLongitude,eventDate,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,basisOfRecord,sst_mean,salinity_mean,depth_m,presence
Costaria costata,42.15,139.52,1944-03-31,,,,PreservedSpecimen,13.474218336443036,33.8753123169924,,1
Saccharina japonica var. religiosa,42.15,139.4,1943-10-13,,,,PreservedSpecimen,13.456911897638882,33.88056438584226,,1
Saccharina japonica var. religiosa,42.17,139.4,1943-07-03,,,,PreservedSpecimen,13.456911897638882,33.88056438584226,,1
Saccharina japonica var. religiosa,44.28,141.63,1944-10,,,,PreservedSpecimen,11.470775153578542,33.22337357055735,,1
Saccharina japonica var. religiosa,44.28,141.63,1944-10,,,,PreservedSpecimen,11.470775153578542,33.22337357055735,,1
Undaria pinnatifida f. pinnatifida,41.87,140.1,1944-04-03,,,,PreservedSpecimen,13.275470054804403,33.835921160067436,,1
Costaria costata,44.1,145.25,1964-08,,,,PreservedSpecimen,7.556190281846237,32.441163547136114,,1
Costaria costata,42.1,142.97,1948-05,,,,PreservedSpecimen,9.892157726305154,32.577390663586726,,1
Saccharina angustata,42.23,142.57,1948,,,,PreservedSpecimen,10.558735552662888,32.71137816552809,,1
Undaria pinnatifida f. pinnatifida,42.3,140.97,1950-02,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Saccharina angustata,42.3,140.97,1948-03,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Undaria pinnatifida f. pinnatifida,43.2,140.85,1931-06-23,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Saccharina coriacea,43.02,144.83,1933-08,,,,PreservedSpecimen,8.09249931573474,32.393234908626575,,1
Saccharina japonica var. religiosa,43.2,140.85,1931-06-23,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Saccharina japonica var. religiosa,43.2,140.85,1931-06-23,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Saccharina japonica var. religiosa,43.2,140.85,1931-06-23,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Costaria costata,39.63,141.97,1951-04-12,,,,PreservedSpecimen,14.298155907669615,33.76890027012127,,1
Costaria costata,39.02,141.75,1951-05-20,,,,PreservedSpecimen,14.392772592909015,33.72789535098292,,1
Saccharina japonica var. japonica,39.62,141.97,1951-11-09,,,,PreservedSpecimen,14.298155907669615,33.76890027012127,,1
Saccharina japonica var. japonica,39.62,141.97,1951-11-09,,,,PreservedSpecimen,14.298155907669615,33.76890027012127,,1
Saccharina japonica var. religiosa,39.63,141.97,1951-08-03,,,,PreservedSpecimen,14.298155907669615,33.76890027012127,,1
Saccharina japonica var. religiosa,39.23,141.97,1951-08-18,,,,PreservedSpecimen,14.251314085805497,33.737163008284234,,1
Undaria pinnatifida f. pinnatifida,39.23,141.97,1951-08-18,,,,PreservedSpecimen,14.251314085805497,33.737163008284234,,1
Saccharina angustata,42.27,142.48,1953-08,,,,PreservedSpecimen,10.70282136780551,32.74598598906146,,1
Saccharina angustata,42.3,140.98,1956-08-03,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Saccharina angustata,42.3,140.98,1956-08-03,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Saccharina angustata,42.3,140.98,1960-03-02,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Saccharina angustata,42.3,140.98,1960-03-02,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Saccharina japonica var. religiosa,43.17,141.07,1957-08-30,,,,PreservedSpecimen,12.142544250587218,33.30299546253588,,1
Saccharina japonica var. religiosa,43.17,141.07,1957-08-30,,,,PreservedSpecimen,12.142544250587218,33.30299546253588,,1
Saccharina coriacea,42.93,144.87,1956-08-21,,,,PreservedSpecimen,7.960736146871691,32.40868825396079,,1
Eisenia bicyclis,38.38,141.58,1974-07-31,,,,PreservedSpecimen,14.659569586918051,33.68408640998391,,1
Costaria costata,38.38,141.58,1974-07-30,,,,PreservedSpecimen,14.659569586918051,33.68408640998391,,1
Saccharina japonica var. religiosa,38.38,141.58,1974-07-30,,,,PreservedSpecimen,14.659569586918051,33.68408640998391,,1
Undaria pinnatifida f. pinnatifida,38.38,141.58,1974-07-30,,,,PreservedSpecimen,14.659569586918051,33.68408640998391,,1
Undaria pinnatifida f. pinnatifida,38.55,139.53,1956-06,,,,PreservedSpecimen,17.412151926715445,33.02779372060963,,1
Eisenia bicyclis,38.3,141.07,1965-05-05,,,,PreservedSpecimen,15.025403893445269,33.01579542046342,,1
Undaria pinnatifida f. pinnatifida,38.32,141.1,1965-04-18,,,,PreservedSpecimen,14.983701431316616,32.986720650887484,,1
Saccharina japonica var. religiosa,36.92,140.88,1981-06-15,,,,PreservedSpecimen,16.195454086038904,33.40204713556719,,1
Undaria pinnatifida f. pinnatifida,36.92,140.88,1981-07-15,,,,PreservedSpecimen,16.195454086038904,33.40204713556719,,1
Costaria costata,44.03,144.25,1980-07-29,,,,PreservedSpecimen,7.843305573638211,32.543142170667196,,1
Undaria pinnatifida f. pinnatifida,42.3,140.95,1955-06-23,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
Saccharina japonica var. japonica,42.3,140.95,1955-06-23,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
Costaria costata,42.3,140.97,1943-03-20,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Costaria costata,42.3,140.97,1943-03-20,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Costaria costata,42.3,140.98,1943-03-21,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Saccharina japonica var. japonica,42.3,140.97,1943-03-20,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Saccharina japonica var. japonica,42.3,140.97,1943-03-20,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Saccharina angustata,42.3,140.98,1943-03-21,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Saccharina japonica var. religiosa,43.2,140.85,1946-06,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Saccharina japonica var. religiosa,41.87,140.1,1943-04-03,,,,PreservedSpecimen,13.275470054804403,33.835921160067436,,1
Saccharina japonica var. religiosa,41.75,140.6,1943-04-05,,,,PreservedSpecimen,14.774835795161993,33.824399454044524,,1
Saccharina japonica var. japonica,42.3,140.97,1943-03-20,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Undaria pinnatifida f. pinnatifida,42.3,140.95,1949-04-18,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
Undaria pinnatifida f. pinnatifida,38.72,141.55,1957-02-18,,,,PreservedSpecimen,14.510805833671418,33.706394881167654,,1
Costaria costata,44.43,141.42,1981-04-18,,,,PreservedSpecimen,11.43701030153681,33.503996097729974,,1
Saccharina japonica var. religiosa,44.4,141.28,1981-07-30,,,,PreservedSpecimen,11.458959367421643,33.62328494166043,,1
Saccharina angustata,42.22,143.32,1975-12-20,,,,PreservedSpecimen,8.643945452363011,32.351721760480665,,1
Costaria costata,42.22,143.32,1975-12-20,,,,PreservedSpecimen,8.643945452363011,32.351721760480665,,1
Costaria costata,45.17,141.12,1934-08,,,,PreservedSpecimen,10.667845699350964,33.50461429924039,,1
Undaria pinnatifida f. pinnatifida,44.13,141.65,1943-06,,,,PreservedSpecimen,11.707151072258878,33.21090610591965,,1
Saccharina japonica var. japonica,41.35,139.8,1946-09-08,,,,PreservedSpecimen,15.14142375179746,33.85162521454273,,1
Costaria costata,41.93,143.22,1975-07-25,,,,PreservedSpecimen,9.318203531044968,32.51204879126048,,1
Saccharina japonica var. religiosa,43.22,140.32,1985-08-10,,,,PreservedSpecimen,12.717655896642324,33.82329589354379,,1
Costaria costata,43.05,140.48,1984-04-15,,,,PreservedSpecimen,12.774454927841068,33.83703278542222,,1
Undaria pinnatifida f. pinnatifida,43.05,140.48,1984-05-18,,,,PreservedSpecimen,12.774454927841068,33.83703278542222,,1
Saccharina coriacea,43.28,145.67,1987-04-15,,,,PreservedSpecimen,7.660193858974548,32.32732051462417,,1
Undaria pinnatifida f. pinnatifida,41.12,140.77,1988-01-18,,,,PreservedSpecimen,15.040989749216234,33.4462956845593,,1
Undaria pinnatifida f. pinnatifida,41.5,140.9,1987-08-08,,,,PreservedSpecimen,15.895514054164638,33.679819241869396,,1
Saccharina japonica var. religiosa,41.5,140.9,1987-10-23,,,,PreservedSpecimen,15.895514054164638,33.679819241869396,,1
Costaria costata,41.5,140.9,1987-04-14,,,,PreservedSpecimen,15.895514054164638,33.679819241869396,,1
Undaria pinnatifida f. pinnatifida,41.5,140.9,1988-01-20,,,,PreservedSpecimen,15.895514054164638,33.679819241869396,,1
Saccharina japonica var. religiosa,41.47,140.02,1989-03-08,,,,PreservedSpecimen,14.053954559419472,33.86837035322505,,1
Saccharina japonica var. religiosa,41.35,139.8,1988-08-23,,,,PreservedSpecimen,15.14142375179746,33.85162521454273,,1
Saccharina japonica var. religiosa,41.43,140.23,1988-11-11,,,,PreservedSpecimen,14.68919112189901,33.85391369211591,,1
Saccharina japonica var. religiosa,41.68,140.52,1988-04-07,,,,PreservedSpecimen,14.449883274797829,33.850444363657076,,1
Saccharina japonica var. religiosa,41.55,140.43,1988-11-12,,,,PreservedSpecimen,14.430079747440947,33.851232836933846,,1
Saccharina japonica var. japonica,41.68,140.52,1988-04-07,,,,PreservedSpecimen,14.449883274797829,33.850444363657076,,1
Saccharina japonica var. japonica,41.42,140.12,1988-07-26,,,,PreservedSpecimen,14.755709035367472,33.85498019570498,,1
Saccharina japonica var. japonica,41.35,139.8,1988-08-23,,,,PreservedSpecimen,15.14142375179746,33.85162521454273,,1
Costaria costata,41.47,140.02,1988-05-15,,,,PreservedSpecimen,14.053954559419472,33.86837035322505,,1
Costaria costata,41.55,140.43,1988-04-08,,,,PreservedSpecimen,14.430079747440947,33.851232836933846,,1
Undaria pinnatifida f. pinnatifida,41.47,140.02,1989-05-04,,,,PreservedSpecimen,14.053954559419472,33.86837035322505,,1
Undaria pinnatifida f. pinnatifida,41.68,140.52,1989-05-08,,,,PreservedSpecimen,14.449883274797829,33.850444363657076,,1
Undaria pinnatifida f. pinnatifida,41.35,139.8,1988-08-23,,,,PreservedSpecimen,15.14142375179746,33.85162521454273,,1
Undaria pinnatifida f. pinnatifida,38.32,141.1,1957-05-31,,,,PreservedSpecimen,14.983701431316616,32.986720650887484,,1
Saccharina angustata,42.3,140.95,1953-07-28,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
Costaria costata,42.3,140.95,1953-07-28,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
Undaria pinnatifida f. pinnatifida,39.85,139.8,1983-05-22,,,,PreservedSpecimen,16.91320504343314,33.30222623074708,,1
Undaria pinnatifida f. pinnatifida,39.88,139.85,1962-05-30,,,,PreservedSpecimen,16.76446117532722,33.30689690192599,,1
Undaria pinnatifida f. pinnatifida,38.42,141.47,1924-03-28,,,,PreservedSpecimen,14.676884579934088,33.476416710370266,,1
Costaria costata,42.48,140.8,1972-05-03,,,,PreservedSpecimen,11.530276035859616,32.707568407869275,,1
Undaria pinnatifida f. pinnatifida,42.48,140.8,1972-05-03,,,,PreservedSpecimen,11.530276035859616,32.707568407869275,,1
Costaria costata,43.37,145.8,1929-08-03,,,,PreservedSpecimen,7.764268644476999,32.25890120749487,,1
Costaria costata,43.03,145.05,1972-04-17,,,,PreservedSpecimen,7.888729702931131,32.39630157399606,,1
Costaria costata,40.37,141.75,1966-01-22,,,,PreservedSpecimen,14.284285333709825,33.80015598374112,,1
Undaria pinnatifida f. pinnatifida,40.37,141.75,1966-06-07,,,,PreservedSpecimen,14.284285333709825,33.80015598374112,,1
Saccharina japonica var. religiosa,43.2,140.85,1983-08-02,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Undaria pinnatifida f. pinnatifida,43.2,140.85,1931-06-23,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Costaria costata,42.93,144.62,1993-07-20,,,,PreservedSpecimen,8.095671646025922,32.40534934725526,,1
Costaria costata,42.92,144.43,1993-08-16,,,,PreservedSpecimen,8.181282799561902,32.40018584110001,,1
Saccharina coriacea,42.92,144.43,1993-11-16,,,,PreservedSpecimen,8.181282799561902,32.40018584110001,,1
Costaria costata,43.2,140.85,1995-05-09,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Undaria pinnatifida f. pinnatifida,43.2,140.85,1995-04-12,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Saccharina japonica var. religiosa,43.2,140.85,1995-12-20,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Saccharina japonica var. japonica,43.2,140.85,1995-04-12,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Costaria costata,43.2,140.85,1971-07-14,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Undaria pinnatifida f. pinnatifida,43.2,140.88,1996-06-27,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Costaria costata,43.2,140.88,1996-05-14,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Saccharina japonica var. religiosa,43.2,140.88,1996-06-27,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Saccharina japonica var. religiosa,41.35,139.8,1987-05-19,,,,PreservedSpecimen,15.14142375179746,33.85162521454273,,1
Saccharina japonica var. religiosa,41.35,139.8,1987-05-19,,,,PreservedSpecimen,15.14142375179746,33.85162521454273,,1
Undaria pinnatifida f. pinnatifida,43.07,140.47,1997-04-16,,,,PreservedSpecimen,12.75092536633121,33.83990548780739,,1
Costaria costata,43.07,140.47,1997-04-16,,,,PreservedSpecimen,12.75092536633121,33.83990548780739,,1
Saccharina japonica var. religiosa,43.07,140.47,1997-04-16,,,,PreservedSpecimen,12.75092536633121,33.83990548780739,,1
Saccharina angustata,42.32,141.02,1966-07-24,,,,PreservedSpecimen,11.5230347616082,32.748703923274846,,1
Saccharina angustata,42.3,140.98,1966-08-18,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Undaria pinnatifida f. pinnatifida,42.33,140.92,1967-03-29,,,,PreservedSpecimen,11.416941834566792,32.724107162345305,,1
Undaria pinnatifida f. pinnatifida,42.3,140.97,1966-08-17,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Costaria costata,42.32,140.93,1966-05-21,,,,PreservedSpecimen,11.416941834566792,32.724107162345305,,1
Costaria costata,42.3,140.98,1966-05-22,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Undaria pinnatifida f. pinnatifida,38.38,141.58,1973-07-25,,,,PreservedSpecimen,14.659569586918051,33.68408640998391,,1
Undaria pinnatifida f. pinnatifida,38.33,141.08,1964-02-19,,,,PreservedSpecimen,14.931231636997328,32.91731673546544,,1
Costaria costata,41.93,143.22,1975-07-25,,,,PreservedSpecimen,9.318203531044968,32.51204879126048,,1
Costaria costata,43.2,140.88,1972-05-05,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Costaria costata,44.03,145.22,1970-01-16,,,,PreservedSpecimen,7.6409541980125155,32.42430760432361,,1
Costaria costata,44.03,145.22,1970-01-16,,,,PreservedSpecimen,7.6409541980125155,32.42430760432361,,1
Costaria costata,44.25,145.35,1968-05-16,,,,PreservedSpecimen,7.515200905497618,32.44604675388308,,1
Costaria costata,44.17,145.3,1968-05-14,,,,PreservedSpecimen,7.4921602909859795,32.443716539873144,,1
Undaria pinnatifida f. pinnatifida,40.63,139.9,1978-06-21,,,,PreservedSpecimen,16.6267270682333,33.49334996420239,,1
Undaria pinnatifida f. pinnatifida,41.38,140.18,1978-04-25,,,,PreservedSpecimen,15.301438173950489,33.81085877539994,,1
Costaria costata,41.38,140.18,1978-04-25,,,,PreservedSpecimen,15.301438173950489,33.81085877539994,,1
Undaria pinnatifida f. pinnatifida,38.38,141.58,1974-07-31,,,,PreservedSpecimen,14.659569586918051,33.68408640998391,,1
Costaria costata,43.2,140.88,1972-05-05,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Saccharina angustata,42.27,142.48,1954-08-17,,,,PreservedSpecimen,10.70282136780551,32.74598598906146,,1
Saccharina angustata,41.93,143.22,1957-07-27,,,,PreservedSpecimen,9.318203531044968,32.51204879126048,,1
Costaria costata,42.3,140.95,1924-09-06,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
Costaria costata,42.3,140.95,1933-06-01,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
Costaria costata,42.3,140.95,1933-06-01,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
Costaria costata,42.3,140.95,1933-06-01,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
Eisenia bicyclis,36.98,140.97,1933-08-13,,,,PreservedSpecimen,16.120542730299295,33.43483966350176,,1
Saccharina japonica var. religiosa,41.25,140.33,1932-05-06,,,,PreservedSpecimen,16.321324967425934,33.62168252018429,,1
Saccharina japonica var. religiosa,43.17,141.22,1929-08-06,,,,PreservedSpecimen,11.828474998371467,33.027376419257315,,1
Saccharina japonica var. ochotensis,43.2,140.85,1929-07-29,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Costaria costata,43.38,145.82,1960-06-10,,,,PreservedSpecimen,7.764268644476999,32.25890120749487,,1
Costaria costata,43.38,145.65,1970-06-06,,,,PreservedSpecimen,7.935277561528443,32.227762714893345,,1
Costaria costata,43.27,145.58,1969-07-02,,,,PreservedSpecimen,7.73668287202426,32.30976723920322,,1
Costaria costata,42.93,144.62,1970-05-24,,,,PreservedSpecimen,8.095671646025922,32.40534934725526,,1
Costaria costata,42.3,140.95,1934-07,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
Saccharina angustata,42.3,140.95,1957-10-07,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
Costaria costata,43.0,144.82,1996-07-04,,,,PreservedSpecimen,8.09249931573474,32.393234908626575,,1
Undaria pinnatifida f. pinnatifida,38.32,141.1,1951-08-03,,,,PreservedSpecimen,14.983701431316616,32.986720650887484,,1
Undaria pinnatifida f. pinnatifida,38.32,141.12,1978-03-27,,,,PreservedSpecimen,14.983701431316616,32.986720650887484,,1
Undaria pinnatifida f. pinnatifida,38.32,141.1,1957-05-31,,,,PreservedSpecimen,14.983701431316616,32.986720650887484,,1
Undaria pinnatifida f. pinnatifida,38.38,141.58,1970-07-31,,,,PreservedSpecimen,14.659569586918051,33.68408640998391,,1
Undaria pinnatifida f. pinnatifida,38.42,141.47,1953-02-19,,,,PreservedSpecimen,14.676884579934088,33.476416710370266,,1
Undaria pinnatifida f. pinnatifida,42.3,140.95,1963-03-09,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
Costaria costata,42.3,140.95,1963-03-09,,,,PreservedSpecimen,11.633231854472225,32.717154876014405,,1
