scientificName,decimalLatitude,decimalLongitude,eventDate,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,basisOfRecord,sst_mean,salinity_mean
Saccharina angustata,42.23,142.57,1948,,,,PreservedSpecimen,10.558735552662887,32.71137816552809
Undaria pinnatifida f. pinnatifida,42.3,140.97,1950-02,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Saccharina angustata,42.3,140.97,1948-03,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Saccharina coriacea,43.0,144.85,1951-11-05,,,,PreservedSpecimen,,
Saccharina coriacea,43.0,144.85,1951-11-05,,,,PreservedSpecimen,,
Saccharina coriacea,43.0,144.85,1951-11-05,,,,PreservedSpecimen,,
Undaria pinnatifida f. pinnatifida,43.2,140.85,1931-06-23,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Saccharina coriacea,43.02,144.83,1933-08,,,,PreservedSpecimen,8.09249931573474,32.393234908626575
Costaria costata,44.15,145.97,1929-07-10,,,,PreservedSpecimen,,
Saccharina japonica var. religiosa,43.2,140.85,1931-06-23,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Saccharina japonica var. religiosa,43.2,140.85,1931-06-23,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Saccharina japonica var. religiosa,43.2,140.85,1931-06-23,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Costaria costata,39.63,141.97,1951-04-12,,,,PreservedSpecimen,14.298155907669615,33.76890027012127
Costaria costata,39.02,141.75,1951-05-20,,,,PreservedSpecimen,14.392772592909017,33.72789535098292
Saccharina japonica var. japonica,39.62,141.97,1951-11-09,,,,PreservedSpecimen,14.298155907669615,33.76890027012127
Saccharina japonica var. japonica,39.62,141.97,1951-11-09,,,,PreservedSpecimen,14.298155907669615,33.76890027012127
Saccharina japonica var. religiosa,39.63,141.97,1951-08-03,,,,PreservedSpecimen,14.298155907669615,33.76890027012127
Saccharina japonica var. religiosa,39.23,141.97,1951-08-18,,,,PreservedSpecimen,14.251314085805495,33.737163008284234
Undaria pinnatifida f. pinnatifida,39.23,141.97,1951-08-18,,,,PreservedSpecimen,14.251314085805495,33.737163008284234
Saccharina angustata,42.27,142.48,1953-08,,,,PreservedSpecimen,10.70282136780551,32.74598598906146
Saccharina angustata,42.3,140.98,1956-08-03,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Saccharina angustata,42.3,140.98,1956-08-03,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Saccharina angustata,42.3,140.98,1960-03-02,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Saccharina angustata,42.3,140.98,1960-03-02,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Saccharina japonica var. religiosa,43.17,141.07,1957-08-30,,,,PreservedSpecimen,12.142544250587218,33.30299546253588
Saccharina japonica var. religiosa,43.17,141.07,1957-08-30,,,,PreservedSpecimen,12.142544250587218,33.30299546253588
Saccharina coriacea,42.93,144.87,1956-08-21,,,,PreservedSpecimen,7.960736146871691,32.40868825396079
Eisenia bicyclis,38.38,141.58,1974-07-31,,,,PreservedSpecimen,14.659569586918053,33.68408640998391
Costaria costata,38.38,141.58,1974-07-30,,,,PreservedSpecimen,14.659569586918053,33.68408640998391
Saccharina japonica var. religiosa,38.38,141.58,1974-07-30,,,,PreservedSpecimen,14.659569586918053,33.68408640998391
Undaria pinnatifida f. pinnatifida,38.38,141.58,1974-07-30,,,,PreservedSpecimen,14.659569586918053,33.68408640998391
Undaria pinnatifida f. pinnatifida,38.55,139.53,1956-06,,,,PreservedSpecimen,17.412151926715445,33.02779372060963
Eisenia bicyclis,38.3,141.07,1965-05-05,,,,PreservedSpecimen,15.025403893445269,33.01579542046342
Undaria pinnatifida f. pinnatifida,38.32,141.1,1965-04-18,,,,PreservedSpecimen,14.983701431316616,32.986720650887484
Saccharina japonica var. religiosa,36.95,140.93,1981-07-14,,,,PreservedSpecimen,,
Undaria pinnatifida f. pinnatifida,36.95,140.93,1981-07-14,,,,PreservedSpecimen,,
Saccharina japonica var. religiosa,36.92,140.88,1981-06-15,,,,PreservedSpecimen,16.195454086038904,33.40204713556719
Undaria pinnatifida f. pinnatifida,36.92,140.88,1981-07-15,,,,PreservedSpecimen,16.195454086038904,33.40204713556719
Costaria costata,44.03,144.25,1980-07-29,,,,PreservedSpecimen,7.843305573638211,32.543142170667196
Undaria pinnatifida f. pinnatifida,42.3,140.95,1955-06-23,,,,PreservedSpecimen,11.633231854472223,32.717154876014405
Saccharina japonica var. japonica,42.3,140.95,1955-06-23,,,,PreservedSpecimen,11.633231854472223,32.717154876014405
Costaria costata,42.3,140.97,1943-03-20,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Costaria costata,42.3,140.97,1943-03-20,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Costaria costata,42.3,140.98,1943-03-21,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Saccharina japonica var. japonica,42.3,140.97,1943-03-20,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Saccharina japonica var. japonica,42.3,140.97,1943-03-20,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Saccharina angustata,42.3,140.98,1943-03-21,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Saccharina japonica var. religiosa,43.2,140.85,1946-06,,,,PreservedSpecimen,12.378572558240297,33.64754763772097
Saccharina japonica var. religiosa,41.87,140.1,1943-04-03,,,,PreservedSpecimen,13.275470054804405,33.835921160067436
Saccharina japonica var. religiosa,41.75,140.6,1943-04-05,,,,PreservedSpecimen,14.774835795161993,33.824399454044524
Saccharina japonica var. japonica,42.3,140.97,1943-03-20,,,,PreservedSpecimen,11.638448386042967,32.73626672939781
Undaria pinnatifida f. pinnatifida,42.3,140.95,1949-04-18,,,,PreservedSpecimen,11.633231854472223,32.717154876014405
Undaria pinnatifida f. pinnatifida,38.72,141.55,1957-02-18,,,,PreservedSpecimen,14.510805833671418,33.706394881167654
Undaria pinnatifida f. pinnatifida,38.53,141.52,1957-02-13,,,,PreservedSpecimen,,
Undaria pinnatifida f. pinnatifida,36.95,140.93,1981-07-14,,,,PreservedSpecimen,,
Costaria costata,44.4,141.3,1982-05-11,,,,PreservedSpecimen,,
Costaria costata,44.43,141.42,1981-04-18,,,,PreservedSpecimen,11.43701030153681,33.503996097729974
Undaria pinnatifida f. pinnatifida,44.42,141.32,1982-02-13,,,,PreservedSpecimen,,
